t	U	P	msd	sigmaxy	f2tdu2
1.4	0.139355	0.305845	0.456483	2.45246	10.0254
1.41	0.127228	0.305609	0.454276	1.65698	7.41959
1.42	0.102781	0.305088	0.454901	-0.230695	0.599583
1.43	0.11878	0.305429	0.458402	-2.9564	3.31498
1.44	0.133221	0.305714	0.465053	-4.06535	10.9542
1.45	0.150031	0.306064	0.472332	-3.67749	19.3061
1.46	0.153746	0.306169	0.475884	-0.538455	10.8742
1.47	0.146963	0.306023	0.479807	-2.49928	8.82284
1.48	0.1314	0.305737	0.482512	-7.65267	-1.1085
1.49	0.145258	0.306	0.48611	-5.32337	5.64418
1.5	0.135619	0.305811	0.488814	-4.94993	3.08378
1.51	0.15828	0.306246	0.486981	-8.17365	13.6575
1.52	0.164998	0.306417	0.500044	-8.54132	12.1657
1.53	0.168561	0.306551	0.512839	-9.00867	6.99816
1.54	0.153587	0.306239	0.513676	-9.85568	2.26399
1.55	0.168204	0.306516	0.512958	-8.84762	8.15817
1.56	0.170409	0.306568	0.513301	-6.40452	7.35474
1.57	0.151582	0.306174	0.514251	-5.05172	3.39761
1.58	0.174726	0.306648	0.516694	-8.54001	10.9586
1.59	0.172763	0.306608	0.52825	-8.71645	11.0114
1.6	0.159644	0.306349	0.533471	-6.77055	4.11039
1.61	0.162015	0.306405	0.533622	-8.04649	4.59917
1.62	0.131081	0.305759	0.530182	-7.72009	-0.807791
1.63	0.130375	0.305755	0.534272	-5.03344	-1.47717
1.64	0.132908	0.305798	0.539169	-3.68956	0.366211
1.65	0.130295	0.305709	0.542173	-3.37471	5.16558
1.66	0.118773	0.305461	0.530689	-3.65871	2.18723
1.67	0.135912	0.305822	0.53395	-0.444492	4.55615
1.68	0.151102	0.306147	0.533826	-2.88786	9.36422
1.69	0.167236	0.306487	0.52704	-10.049	11.6448
1.7	0.169929	0.306558	0.533838	-7.79161	7.52252
1.71	0.159407	0.306343	0.530676	-5.24382	4.06327
1.72	0.160803	0.30637	0.531828	-4.05054	5.71296
1.73	0.194484	0.307071	0.537927	1.96207	16.1825
1.74	0.181566	0.306852	0.541779	-0.281655	5.83593
1.75	0.215699	0.307488	0.551745	-3.2168	27.2812
1.76	0.225371	0.307742	0.557217	-0.44036	18.0401
1.77	0.229075	0.307763	0.555006	0.950042	32.463
1.78	0.216011	0.307559	0.559473	-4.42991	11.5252
1.79	0.198856	0.307174	0.554708	-4.10282	14.4438
1.8	0.204607	0.307298	0.55648	-3.68883	13.4197
1.81	0.220574	0.307621	0.564228	-4.56504	22.7761
1.82	0.213671	0.307468	0.554618	-10.2972	23.2062
1.83	0.179588	0.306827	0.561684	-4.46926	8.59494
1.84	0.172709	0.306715	0.563864	-1.60705	1.31433
1.85	0.166024	0.306567	0.563505	1.24794	1.12085
1.86	0.171879	0.306709	0.561645	2.35916	-0.0949806
1.87	0.163076	0.306503	0.565921	1.13706	1.4039
1.88	0.169465	0.306629	0.554961	5.3243	2.54389
1.89	0.189387	0.307032	0.553886	2.51329	6.40858
1.9	0.179982	0.30685	0.556782	1.04088	3.35514
1.91	0.174132	0.306686	0.565686	-0.172278	10.0497
1.92	0.186735	0.306967	0.565251	1.46957	7.34605
1.93	0.203173	0.307266	0.563193	0.698095	18.3438
1.94	0.193426	0.307055	0.567435	-4.5417	22.3427
1.95	0.200729	0.307238	0.584069	-0.786375	14.4525
1.96	0.196334	0.307151	0.587191	1.32298	12.9422
1.97	0.184333	0.306912	0.589826	0.154052	6.90568
1.98	0.19452	0.307034	0.586573	-0.647134	25.0729
1.99	0.168631	0.306534	0.577017	-3.75371	9.97046
2	0.157014	0.306293	0.574715	-2.72831	6.1651
2.01	0.169041	0.30652	0.583479	-1.84447	12.6593
2.02	0.205158	0.307233	0.600996	-8.71724	42.4327
2.03	0.182227	0.306783	0.612799	-7.45065	33.3111
2.04	0.140515	0.305981	0.604343	-2.74085	2.85353
2.05	0.124281	0.305622	0.61018	-2.69283	0.673931
2.06	0.123372	0.305608	0.617633	-2.63332	0.015188
2.07	0.143432	0.306	0.624327	-1.4296	11.1671
2.08	0.170063	0.306459	0.628133	-5.71703	44.3482
2.09	0.141937	0.305992	0.631419	-2.71202	3.58481
2.1	0.161006	0.306391	0.641763	-5.20335	8.99055
2.11	0.227323	0.307504	0.651933	-9.25955	138.398
2.12	0.197236	0.30713	0.656619	-10.1603	17.8595
2.13	0.172788	0.306655	0.659433	-4.01069	6.57884
2.14	0.176887	0.306734	0.65837	-1.22784	10.4537
2.15	0.170944	0.306592	0.658729	-2.03083	13.2285
2.16	0.147615	0.306152	0.651546	-3.60846	-0.149574
2.17	0.15719	0.306342	0.654781	-1.05229	3.21415
2.18	0.164148	0.306451	0.653398	-0.133196	8.65467
2.19	0.163141	0.306405	0.646089	-3.77716	10.0804
2.2	0.211602	0.307273	0.642359	6.02978	64.496
2.21	0.150085	0.306122	0.653871	0.522095	6.23213
2.22	0.14743	0.306076	0.668421	-4.41526	6.01722
2.23	0.130644	0.305756	0.66847	-4.20264	-1.87169
2.24	0.133569	0.305784	0.672561	-6.94366	1.27062
2.25	0.153828	0.306194	0.67357	-5.42492	4.20098
2.26	0.158685	0.306292	0.659682	-5.79343	4.4572
2.27	0.193677	0.306926	0.659763	3.20617	32.6107
2.28	0.185746	0.306816	0.661706	0.671931	17.2489
2.29	0.160776	0.306348	0.668006	-0.727554	5.24264
2.3	0.171339	0.306548	0.673683	-1.38184	11.9012
2.31	0.203618	0.307127	0.674483	1.15071	41.1909
2.32	0.209939	0.307282	0.677791	-2.73488	36.8098
2.33	0.177214	0.306657	0.676909	-2.54484	18.1367
2.34	0.172889	0.306585	0.682456	-2.93011	10.8354
2.35	0.161967	0.306345	0.682284	-0.505072	11.4797
2.36	0.138886	0.30592	0.681431	-3.47492	0.986067
2.37	0.146986	0.306091	0.68954	-5.69602	1.22908
2.38	0.167063	0.306457	0.693308	-6.1572	15.9594
2.39	0.144331	0.30599	0.687617	-3.09057	5.21011
2.4	0.157601	0.306249	0.683278	-1.77376	12.2803
2.41	0.182785	0.306734	0.693339	-2.63066	27.9924
2.42	0.143472	0.306007	0.702797	-1.4406	2.31497
2.43	0.126617	0.305657	0.705725	-2.78412	-1.14313
2.44	0.153769	0.306171	0.707018	-0.217584	12.8191
2.45	0.139389	0.305893	0.702918	0.452056	5.00648
2.46	0.134897	0.305801	0.703321	-0.0737545	5.57421
2.47	0.148595	0.306075	0.700609	-3.85147	12.4374
2.48	0.153202	0.306177	0.69501	-0.000414079	10.0198
2.49	0.145746	0.306039	0.711573	-1.45184	4.2648
2.5	0.149781	0.306113	0.721568	-1.23454	6.68597
2.51	0.125974	0.30565	0.727013	-1.53475	-1.68922
2.52	0.143228	0.306014	0.719412	-4.87755	1.08155
2.53	0.143921	0.306021	0.72226	-6.44504	1.77712
2.54	0.166569	0.306473	0.715177	-5.74585	12.3023
2.55	0.156319	0.306288	0.721184	-0.922042	3.39427
2.56	0.163099	0.306408	0.724669	-0.211696	8.14892
2.57	0.15105	0.306184	0.741727	-2.68233	3.25885
2.58	0.159226	0.306369	0.745458	-6.54781	3.31144
2.59	0.15185	0.306218	0.745134	-3.84523	2.60941
2.6	0.177716	0.306741	0.749285	-12.6245	8.89326
2.61	0.201225	0.3072	0.756576	-14.6548	19.3359
